rank,target,ref,signal_type,counter_trade,use_excess_return,threshold_width,hold_days,start_days,sma_period,correlation,other_message,trade_count,long_count,short_count,win_rate,total_profit,positive_year_ratio,worst_year_profit,average_pct,std_pct,t_value,average_long_pct,average_short_pct
50,US30_Futures,US30_Futures,bb,True,False,2.5,20,1,15,-0.058856354,,34,26,8,73.529411765,7266.000000000,75.000000000,-591.000000000,1.630886709,3.236023532,2.938675152,1.432279567,2.276359920
51,GBP_USD,EUR_GBP,sma,False,False,1.0,20,1,15,0.103939426,,172,90,82,58.139534884,1.599463514,80.000000000,-0.041645017,0.590379311,2.656936494,2.914165276,0.548047804,0.636840720
52,GBP_JPY,UK100_Futures,bb,False,False,1.5,20,1,100,0.080299192,,118,70,48,60.169491525,177.593516808,66.666666667,-9.171281596,0.872543518,3.257921727,2.909292949,0.996747539,0.691412654
53,COPPER_USD,SILVER_USD,bb,False,False,2.5,20,1,200,0.114043024,,32,23,9,71.875000000,3.301000000,69.230769231,-0.538000000,4.188508619,8.152660876,2.906263751,3.676314485,5.497449185
54,GBP_USD,GBP_AUD,bb,True,False,1.0,20,1,50,-0.111423424,,187,106,81,61.497326203,1.627847478,80.000000000,-0.128079504,0.497900713,2.345677369,2.902654023,0.475769975,0.526861927
55,OIL_USD,COPPER_USD,sma,False,False,1.0,20,1,100,0.160320443,,207,117,90,53.623188406,201.120000000,80.000000000,-36.650000000,1.897099980,9.408016017,2.901197831,2.238949327,1.452695829
56,GBP_USD,NQ100_Futures,bb,False,False,2.5,20,1,15,0.026084199,,37,10,27,70.270270270,0.712801420,85.714285714,-0.026356127,1.124170907,2.357878817,2.900091650,0.308201728,1.426381714
57,OIL_USD,UK100_Futures,bb,False,False,1.0,20,1,100,0.097392316,,163,96,67,59.509202454,226.700000000,66.666666667,-15.120000000,2.075183433,9.177027749,2.887009739,2.759996825,1.093958275
58,GBP_USD,UK100_Futures,bb,False,False,2.0,20,1,50,0.105903291,,83,37,46,62.650602410,1.328740107,73.333333333,-0.062140408,0.904079549,2.857817525,2.882114272,0.686995023,1.078691015
59,GBP_USD,CHF_JPY,bb,False,False,2.5,20,1,50,0.033342663,,52,29,23,65.384615385,0.895464482,66.666666667,-0.050618286,0.985745445,2.467609434,2.880646910,1.180321202,0.740410794
60,USD_JPY,COPPER_USD,bb,True,False,2.5,20,1,100,0.010276131,,31,16,15,64.516129032,42.009725200,78.571428571,-9.857491280,1.226785526,2.375613685,2.875237154,0.761364220,1.723234919
61,EUR_USD,AUD_USD,bb,False,False,1.5,20,1,100,0.079686451,,106,63,43,59.433962264,0.986814344,86.666666667,-0.105429920,0.764660433,2.740317854,2.872900671,0.822674039,0.679663755
62,ZAR_JPY,EUR_AUD,bb,True,False,2.5,20,1,100,-0.088554203,,33,16,17,69.696969697,8.432156961,80.000000000,-0.880645576,2.066476179,4.140462769,2.867071275,2.910928838,1.271697207
63,OIL_USD,UK100_Futures,di,False,False,20.0,20,1,15,0.064427675,,123,60,63,58.536585366,176.770000000,73.333333333,-19.800000000,2.571929951,9.953785550,2.865651754,2.926087153,2.234637378
64,EUR_JPY,AUD_NZD,bb,False,False,1.5,20,1,50,0.142452324,,135,62,73,60.740740741,139.183004840,73.333333333,-10.405821088,0.736553713,2.991839112,2.860441510,1.090075606,0.436302242
65,EUR_JPY,AUD_NZD,bb,False,False,1.5,20,1,100,0.148965258,,110,48,62,58.181818182,112.239689580,80.000000000,-9.928286708,0.765286119,2.808199686,2.858197218,1.050200309,0.544707391
66,GBP_USD,EUR_GBP,bb,False,False,1.5,20,1,15,0.117561935,,209,108,101,59.330143541,1.482806437,80.000000000,-0.128846587,0.457121863,2.313774258,2.856170646,0.464727644,0.448988949
67,EUR_AUD,AUD_USD,bb,False,False,2.0,20,1,50,0.092262407,,88,51,37,64.772727273,1.177953678,80.000000000,-0.071963930,0.858641021,2.821588316,2.854692410,0.675255162,1.111416123
68,TRY_JPY,NQ100_Futures,bb,False,False,1.5,20,1,100,0.030542589,,123,87,36,61.788617886,127.716767622,80.000000000,-7.459205877,1.274040713,4.952170331,2.853253037,2.112144443,-0.751376636
69,CAD_JPY,GBP_USD,bb,True,False,2.0,20,1,10,-0.036348871,,133,66,67,60.902255639,89.289926500,80.000000000,-5.713238220,0.762832144,3.084972496,2.851697856,1.047565413,0.482348626
70,AUD_USD,GOLD_USD,stoch,False,False,30.0,20,1,200,0.100947346,,104,77,27,62.500000000,0.837868407,71.428571429,-0.050814414,1.105234261,3.953895304,2.850662768,0.757903271,2.095770790
71,USD_CHF,GBP_AUD,bb,False,False,2.0,20,1,100,0.091790005,,63,28,35,63.492063492,0.791927165,66.666666667,-0.028007572,1.209750181,3.370346046,2.848993621,1.572259442,0.919742773
72,OIL_USD,GBP_AUD,stoch,True,False,30.0,20,1,100,-0.110512249,,133,86,47,60.150375940,176.150000000,73.333333333,-63.970000000,2.358517827,9.554029041,2.846940735,2.509750239,2.081794690
73,AUD_USD,GOLD_USD,stoch,False,False,30.0,20,1,100,0.077244835,,116,77,39,58.620689655,0.800285986,73.333333333,-0.083919427,0.911983979,3.457566531,2.840832700,1.020839327,0.697064448
74,TRY_JPY,USSPX500_Futures,bb,False,False,1.0,20,1,50,0.031504233,,195,120,75,58.974358974,174.634551415,80.000000000,-5.072660396,1.090976043,5.362816325,2.840793049,2.397564002,-0.999564692
75,GBP_JPY,NQ100_Futures,bb,False,False,2.5,20,1,15,0.020072858,,37,10,27,81.081081081,124.798539045,85.714285714,-5.531523116,1.798486571,3.851002259,2.840758324,1.857932131,1.776469697
76,GBP_USD,COPPER_USD,bb,False,False,1.5,20,1,50,0.093578269,,128,71,57,62.500000000,1.372554973,73.333333333,-0.134688521,0.651291708,2.593985937,2.840618537,0.615742279,0.695572577
77,GBP_USD,USD_CAD,bb,True,False,1.5,20,1,100,-0.069804996,,119,61,58,60.504201681,1.237767204,73.333333333,-0.146623117,0.622034834,2.391048897,2.837917258,0.705263184,0.534501569
78,CAD_JPY,UK100_Futures,sma,False,False,1.0,20,1,50,0.045886910,,224,128,96,55.803571429,122.007067055,60.000000000,-6.565223520,0.597008582,3.155022371,2.832057980,0.666950171,0.503753129
79,GBP_USD,EUR_GBP,bb,False,False,2.0,20,1,10,0.100045964,,136,67,69,61.764705882,1.304442699,73.333333333,-0.117764798,0.585462871,2.410924125,2.831947968,0.393439002,0.771920831
80,OIL_USD,COPPER_USD,change,False,False,1.0,20,1,50,0.176252576,,223,122,101,54.260089686,224.310000000,73.333333333,-28.390000000,1.857493224,9.808657373,2.827939443,2.292501548,1.332037626
81,TRY_JPY,UK100_Futures,sma,False,False,1.0,20,1,50,0.067592977,,224,128,96,58.482142857,184.301745820,73.333333333,-15.983966470,1.008104892,5.342242812,2.824269318,2.297474726,-0.711054886
82,TRY_JPY,AUD_JPY,stoch,False,False,30.0,20,1,100,0.039788402,,143,98,45,63.636363636,131.687665281,73.333333333,-17.512429988,1.240138155,5.258008285,2.820439721,2.462300526,-1.421459897
83,CAD_JPY,GBP_USD,bb,True,False,2.0,20,1,15,-0.039417323,,140,73,67,58.571428571,115.034853280,86.666666667,-4.196120160,0.875872203,3.674967624,2.820013867,1.106083478,0.625044992
84,GBP_USD,EUR_GBP,bb,False,False,2.0,20,1,15,0.117561935,,147,74,73,58.503401361,1.236828263,66.666666667,-0.030757852,0.521083167,2.244793160,2.814423065,0.593076998,0.448103120
85,GBP_AUD,USD_JPY,bb,False,False,1.0,20,1,200,0.133754988,,127,63,64,56.692913386,1.896517527,73.333333333,-0.207851719,0.750664275,3.007470531,2.812847764,0.501791242,0.995648668
86,GBP_USD,CHF_JPY,stoch,False,False,30.0,20,1,50,0.062310072,,159,98,61,56.603773585,1.410266248,80.000000000,-0.044411016,0.541950957,2.429502386,2.812815328,0.413297266,0.748640495
87,GBP_JPY,USSPX500_Futures,bb,False,False,1.0,20,1,200,0.092448000,,150,110,40,62.000000000,214.512881980,80.000000000,-30.578816032,0.775663611,3.379670690,2.810895251,0.624955203,1.190111731
88,GOLD_USD,EUR_GBP,bb,False,False,2.5,20,1,100,0.129598400,,33,16,17,66.666666667,720.500000000,80.000000000,-75.700000000,2.541600719,5.198509839,2.808571111,4.495586492,0.702555286
89,GBP_CHF,CHF_JPY,bb,False,False,2.0,20,1,10,0.044842074,,136,69,67,58.823529412,1.344907898,86.666666667,-0.035891516,0.594326328,2.469685045,2.806421196,0.902148652,0.277315278
90,EUR_USD,CBOE_Volatility_Index,bb,True,False,2.5,20,1,50,-0.059116983,,39,1,38,64.102564103,0.572565000,66.666666667,-0.038421691,1.164451996,2.596763561,2.800409130,7.243084828,1.004487974
91,GBP_USD,AUD_USD,bb,False,False,1.5,20,1,100,0.075479994,,106,63,43,62.264150943,1.197657931,80.000000000,-0.067844607,0.672713858,2.475674050,2.797627206,0.717902611,0.606507081
92,GBP_AUD,EUR_NZD,bb,True,False,2.5,20,1,100,-0.043322830,,33,15,18,69.696969697,0.879913138,78.571428571,-0.072523434,1.222519621,2.511384135,2.796402372,0.513083311,1.813716547
93,TRY_JPY,NQ100_Futures,stoch,False,False,30.0,20,1,200,-0.027626650,,133,106,27,60.902255639,111.131274265,66.666666667,-9.962673547,1.181988661,4.884719556,2.790612249,1.616332869,-0.523214524
94,OIL_USD,COPPER_USD,stoch,False,False,30.0,20,1,50,0.156718910,,160,92,68,55.625000000,174.170000000,66.666666667,-37.930000000,2.112022222,9.582505850,2.787914057,2.815333145,1.160483914
95,US30_Futures,EUR_AUD,bb,False,False,2.0,20,1,15,0.051596504,,146,76,70,58.219178082,15927.400000000,85.714285714,-455.000000000,0.977756016,4.243412241,2.784144038,1.529239068,0.379002988
96,AUD_JPY,GBP_USD,bb,True,False,2.0,20,1,10,-0.049031127,,133,66,67,62.406015038,90.714330852,80.000000000,-4.919766392,0.890990851,3.696999607,2.779391087,1.192804407,0.593681975
97,GBP_USD,UK100_Futures,stoch,False,False,30.0,20,1,50,0.084199042,,163,107,56,57.668711656,1.514594769,80.000000000,-0.046264662,0.535312859,2.459020531,2.779324931,0.414372604,0.766395130
98,UK100_Futures,SILVER_USD,bb,True,False,2.5,20,1,15,-0.045781060,,57,28,29,66.666666667,4705.500000000,73.333333333,-281.000000000,1.537935357,4.178659226,2.778680120,2.175256386,0.922590916
99,EUR_JPY,AUD_NZD,bb,False,False,2.0,20,1,100,0.148965258,,69,29,40,57.971014493,94.450735144,73.333333333,-3.515333792,1.019001398,3.047799517,2.777236916,1.661170739,0.553428626
100,OIL_USD,SILVER_USD,bb,False,False,1.5,20,1,200,0.092567359,,84,54,30,60.714285714,125.310000000,73.333333333,-15.290000000,2.763169853,9.119371820,2.777041063,1.499926219,5.037008393
101,GBP_USD,OIL_USD,bb,False,False,2.5,20,1,100,0.036237006,,32,17,15,68.750000000,0.815158762,86.666666667,-0.027663581,1.486906653,3.034383743,2.771967863,1.074149327,1.954698289
102,AUD_USD,EUR_USD,bb,False,False,2.0,20,1,100,0.094230970,,66,38,28,62.121212121,0.607743470,73.333333333,-0.090516576,1.262396414,3.703530177,2.769184120,1.191096639,1.359160395
103,EUR_USD,AUD_USD,bb,False,False,2.5,20,1,100,0.079686451,,32,16,16,71.875000000,0.485995098,80.000000000,-0.036239633,1.209849867,2.474494295,2.765795167,1.532673848,0.887025886
104,GBP_USD,UK100_Futures,bb,False,False,1.0,20,1,100,0.091013888,,165,97,68,60.000000000,1.559684152,66.666666667,-0.086201912,0.543131858,2.525694031,2.762272448,0.576647442,0.495322863
105,USD_CHF,AUD_USD,bb,True,False,2.0,20,1,100,-0.041545414,,66,28,38,65.151515152,0.823032282,73.333333333,-0.031684339,1.193863959,3.519110276,2.756093414,1.574131606,0.913666746
106,CHF_JPY,UK100_Futures,bb,False,False,2.0,20,1,200,0.126974800,,49,27,22,69.387755102,68.528616372,76.923076923,-2.980390784,1.385365963,3.531711847,2.745853049,1.310220411,1.477590050
107,AUD_USD,USD_JPY,bb,True,False,1.5,20,1,200,-0.141812381,,84,45,39,60.714285714,0.812232087,73.333333333,-0.060769779,1.104186866,3.689163019,2.743180427,1.240379295,0.947041755
108,OIL_USD,COPPER_USD,stoch,False,False,30.0,20,1,200,0.123933840,,113,76,37,60.176991150,143.970000000,73.333333333,-16.240000000,2.368762052,9.191798804,2.739429631,1.552003821,4.046427608
109,OIL_USD,COPPER_USD,bb,False,False,1.5,20,1,50,0.132926942,,127,70,57,57.480314961,157.210000000,86.666666667,-24.390000000,2.534670883,10.427864564,2.739227193,3.141368585,1.789603530
110,EUR_USD,EUR_GBP,bb,False,False,1.5,20,1,100,0.108697763,,107,51,56,59.813084112,0.999483932,73.333333333,-0.099031081,0.732338044,2.766914927,2.737837568,0.660661589,0.797614816
111,USD_CHF,EUR_AUD,di,False,False,20.0,20,1,15,0.086665523,,119,62,57,63.025210084,1.087749966,93.333333333,-0.061166681,0.904768508,3.605465655,2.737471419,1.052169967,0.744437097
112,USD_CHF,EUR_NZD,bb,False,False,1.5,20,1,100,0.060030221,,117,47,70,62.393162393,0.926881817,73.333333333,-0.068362447,0.700090847,2.766490716,2.737272999,0.692126156,0.705438568
113,OIL_USD,GOLD_USD,change,False,False,1.0,20,1,100,0.150861332,,210,138,72,54.285714286,223.640000000,86.666666667,-8.980000000,1.845324871,9.770872804,2.736838198,1.938345722,1.667034905
114,OIL_USD,UK100_Futures,sma,False,False,1.0,20,1,100,0.103815254,,207,121,86,58.454106280,214.800000000,66.666666667,-10.700000000,1.750415481,9.212316441,2.733741658,1.868437983,1.584360565
115,EUR_USD,CAD_JPY,bb,False,False,2.0,20,1,50,0.002464189,,88,46,42,62.500000000,0.866784162,80.000000000,-0.043654312,0.787314670,2.702625188,2.732774899,1.058534549,0.490264328
116,USD_JPY,AUD_JPY,bb,False,False,2.0,20,1,200,0.055846061,,47,33,14,61.702127660,49.251431840,71.428571429,-3.814421280,0.986239229,2.478696868,2.727770222,1.115077894,0.682548090
117,TRY_JPY,CHF_JPY,bb,False,False,1.5,20,1,200,-0.004325132,,97,70,27,61.855670103,112.924298828,66.666666667,-13.015736754,1.483706123,5.359285392,2.726634161,2.625806306,-1.477294350
118,EUR_NZD,AUD_USD,bb,False,False,2.0,20,1,50,0.102567668,,88,51,37,63.636363636,1.283980000,73.333333333,-0.068930000,0.792814676,2.736725878,2.717576123,0.752510379,0.848369247
119,AUD_USD,EUR_GBP,bb,False,False,2.0,20,1,100,0.125922132,,67,31,36,56.716417910,0.565512959,73.333333333,-0.031089648,1.093872104,3.294880061,2.717467370,1.199270806,1.003112110
120,CAD_JPY,SILVER_USD,bb,True,False,2.5,20,1,50,-0.022747459,,48,16,32,60.416666667,57.775410845,73.333333333,-4.306651590,1.195698402,3.049476320,2.716545618,1.926556670,0.830269268
121,OIL_USD,COPPER_USD,bb,False,False,1.0,20,1,200,0.121532733,,135,81,54,57.037037037,150.730000000,73.333333333,-23.440000000,2.127830150,9.101292694,2.716444030,2.147190510,2.098789610
122,AUD_JPY,EUR_GBP,sma,False,False,1.0,20,1,15,0.068573612,,172,90,82,55.232558140,119.053584004,80.000000000,-8.030843604,0.908856306,4.390138908,2.715070972,1.423636623,0.343853520
123,USD_CAD,COPPER_USD,bb,True,False,1.5,20,1,50,-0.092187284,,128,57,71,59.375000000,0.811843125,73.333333333,-0.079003709,0.549069827,2.288024679,2.715012657,1.023426841,0.168247998
124,AUD_USD,USD_JPY,bb,True,False,1.0,20,1,200,-0.141812381,,127,64,63,55.905511811,0.822382653,73.333333333,-0.079497427,0.738617099,3.070998296,2.710451511,0.945894603,0.528049476
125,TRY_JPY,TRY_JPY,bb,False,False,1.5,20,1,50,0.101229187,,140,69,71,56.428571429,132.413580709,80.000000000,-3.587363842,1.165788435,5.091337848,2.709267228,2.790505600,-0.413162049
126,GBP_AUD,NZD_JPY,bb,False,False,2.0,20,1,15,0.033454654,,142,69,73,64.788732394,2.092811175,73.333333333,-0.123753450,0.662771213,2.916238148,2.708225494,0.510433678,0.806761485
127,EUR_JPY,SILVER_USD,change,False,False,1.0,20,1,100,0.068721550,,227,129,98,60.352422907,165.835480808,73.333333333,-9.603679712,0.539936372,3.004817937,2.707306022,0.642450331,0.404994527
128,GBP_USD,UK100_Futures,di,False,False,20.0,20,1,15,0.074304220,,125,61,64,60.000000000,1.400881945,73.333333333,-0.081391985,0.633021160,2.618150804,2.703202472,0.461654561,0.796354949
129,AUD_JPY,SILVER_USD,change,False,False,1.0,20,1,100,0.098660460,,227,129,98,58.149779736,133.087424311,86.666666667,-11.132648580,0.730954801,4.076251377,2.701733410,1.037037949,0.328049433
130,TRY_JPY,NQ100_Futures,sma,False,False,1.0,20,1,50,0.109162716,,234,141,93,56.837606838,169.937468314,80.000000000,-4.726878315,0.927836892,5.259183768,2.698741075,2.238454120,-1.059227936
131,TRY_JPY,NQ100_Futures,change,False,False,1.0,20,1,100,-0.001492004,,216,145,71,58.333333333,152.983929222,80.000000000,-6.929591857,0.944829638,5.157426501,2.692448073,2.114655220,-1.444250776
132,AUD_USD,EUR_GBP,sma,False,False,1.0,20,1,15,0.101678844,,172,90,82,54.069767442,1.039925256,86.666666667,-0.028592940,0.769359554,3.754213498,2.687661733,0.933720625,0.588963256
133,CAD_JPY,AUD_NZD,bb,False,False,1.0,20,1,100,0.152899708,,159,70,89,59.748427673,99.334769685,66.666666667,-9.903104340,0.717579823,3.368548494,2.686123503,1.132939025,0.390892810
